4,265.314,43349.8,17663.2,2.144,1.996e+06
11,434.875,38575.1,11859.1,7.36,1.996e+06
32,52.8461,472.13,177.151,0.38,1.996e+06
70,772.427,64758.1,31535.2,3.256,1.996e+06
83,381.099,49983.8,15732.5,2.392,1.996e+06
90,894.677,93.9,22.1809,4.468,1.996e+06
91,422.128,38584.1,13958.8,4.488,1.996e+06
107,456.688,38678.6,12007.9,2.04,1.996e+06
123,432.834,46612,19073.4,3.28,1.996e+06
209,451.928,36644.5,12578.7,6.648,1.996e+06
273,355.04,51639.4,20955.8,2.992,1.996e+06
288,436.561,28474.1,6839.03,7.188,1.996e+06
315,525.414,51095.7,19647,1.816,1.996e+06
372,414.712,36846.7,9879.88,5.036,1.996e+06
409,286.008,61367.7,29408.2,0.468,1.996e+06
439,822.216,91778.3,68328.6,0.512,1.996e+06
456,430.652,55186.7,25854.4,1.888,1.996e+06
464,56.6776,4882.31,1456.57,7.244,1.996e+06
491,314.797,30079.7,8399.59,3.704,1.996e+06
532,369.899,53476,18125.9,1.952,1.996e+06
608,444.249,1485.91,474.99,6.368,1.996e+06
650,141.362,82623.5,39316.9,0.412,1.996e+06
677,371.906,57593.4,21789,1.996,1.996e+06
687,462.101,98.4948,40.4426,0.924,1.996e+06
728,311.641,61301.1,29995.7,0.728,1.996e+06
751,345.014,2117.06,1018.44,0.312,1.996e+06
772,393.934,35937.9,11822.4,6.992,1.996e+06
775,4.44345,71.3774,18.3949,0.344,1.996e+06
777,374.707,37671.1,10182.3,8.28,1.996e+06
788,391.056,27770.8,10425.2,7.648,1.996e+06
830,957.078,102.848,33.8429,1.1,1.996e+06
946,423.709,48023.8,18334.7,4.988,1.996e+06
954,340.991,92121.8,68199.8,0.876,1.996e+06
1001,476.594,36424,11175.9,4.788,1.996e+06
1005,389.318,63368.4,25487,0.976,1.996e+06
1010,106.6,2027.6,634.888,3.432,1.996e+06
1024,66.3488,10505.7,3377.08,2.612,1.996e+06
1077,439.871,10630.7,2876.33,3.888,1.996e+06
1097,384.33,48731.9,19591.6,1.308,1.996e+06
1103,40.8446,158.264,50.9102,0.548,1.996e+06
1154,446.273,7892.64,2375.33,5.612,1.996e+06
1219,461.045,45204.7,16684.2,2.192,1.996e+06
1232,420.113,49401.3,17524.3,6.092,1.996e+06
1246,113.106,245.355,58.565,0.636,1.996e+06
1253,28.9158,64.1293,12.2879,0.584,1.996e+06
1275,657.797,47087.5,16109.2,4.376,1.996e+06
1296,51.782,20061.3,6770.4,0.36,1.996e+06
1297,354.845,51891.2,20816.1,1.216,1.996e+06
1314,140.286,1600.54,500.916,8.512,1.996e+06
1340,375.094,26713.6,8869.15,7.676,1.996e+06
1344,482.329,33115.6,10149.9,6.372,1.996e+06
1368,393.95,28567.1,7537.54,8.28,1.996e+06
1371,433.828,47687,17052,2.488,1.996e+06
1375,413.017,38263.9,13401,5.184,1.996e+06
1403,984.744,46120.7,14916,3.096,1.996e+06
1404,57.2061,103.825,45.0889,0.576,1.996e+06
